Year,Month,Depth,sulfate mM,d34s pm,hs mM
2020,2,0,25.60138375,24.4457,
2020,2,2,21.72741398,32.411,
2020,2,4,18.92717094,38.9113,
2020,2,6,17.47418722,41.0848,
2020,2,8,16.76439907,43.6231,
2020,2,10,15.44800348,48.1474,
2020,2,12,14.80239954,47.9057,
2020,2,14,,,
2020,2,16,14.1474047,50.03,
2020,2,18,14.05704934,50.6283,
2020,2,20,14.15403468,49.3576,
2020,2,22,14.37815629,48.7069,
2020,2,24,14.76675016,47.6252,
2020,2,26,,,
2020,2,28,15.30066716,46.1115,
2020,2,30,15.52970737,44.9788,
2020,2,32,15.98602845,44.2691,
2020,2,34,16.77743311,43.0694,
2020,2,36,16.53603483,43.0457,
2020,7,0,9.547310895,48.14433,
2020,7,2,5.806977542,64.17833,
2020,7,4,5.729083382,68.02433,
2020,7,6,6.597982849,64.97133,
2020,7,8,10.60806793,59.02933,
2020,7,10,10.93367912,57.82633,
2020,7,12,11.67430593,56.66833,
2020,7,14,,,
2020,7,16,10.95679244,54.69933,
2020,7,18,12.86941438,54.94933,
2020,7,20,13.94348446,50.05433,
2020,7,22,13.59701,52.83533,
2020,7,24,14.05707173,52.22933,
2020,7,26,,,
2020,7,28,14.30436847,48.65833,
2020,7,30,15.18719806,47.96633,
2020,7,32,15.7599607,47.08933,
2020,7,34,16.12141112,45.89533,
2020,7,36,16.35592919,44.27133,
2020,8,0,10.9827793,43.657,
2020,8,2,5.663821088,65.5425,
2020,8,4,5.29955807,69.265,
2020,8,6,6.306942892,71.4885,
2020,8,8,,54.779,
2020,8,10,8.712294629,63.2555,
2020,8,12,10.31110496,59.806,
2020,8,14,,51.4915,
2020,8,16,11.80622639,56.625,
2020,8,18,11.75007191,55.6795,
2020,8,20,11.11841722,54.042,
2020,8,22,13.42094843,52.0505,
2020,8,24,13.71030187,51.339,
2020,8,26,,49.2735,
2020,8,28,14.74978258,49.446,
2020,8,30,15.54928996,47.7635,
2020,8,32,15.8826995,47.276,
2020,8,34,15.9115427,47.0455,
2020,8,36,16.27353024,45.68,
2020,9,0,7.428580386,57.2468,
2020,9,2,5.249014222,67.6772,
2020,9,4,5.068197562,71.7206,
2020,9,6,5.603304459,71.518,
2020,9,8,,,
2020,9,10,7.988610181,64.0914,
2020,9,12,9.082966547,61.3078,
2020,9,14,,48.4762,
2020,9,16,10.80126298,57.6226,
2020,9,18,11.36414684,56.465,
2020,9,20,11.56985934,54.2284,
2020,9,22,12.63390139,53.5848,
2020,9,24,13.16657946,51.8582,
2020,9,26,,49.8416,
2020,9,28,14.25094626,49.837,
2020,9,30,14.96180735,48.7434,
2020,9,32,15.63782472,47.2788,
2020,9,34,15.59055364,46.3122,
2020,9,36,16.32308261,45.5866,
2020,10,0,4.709770725,,
2020,10,2,4.716155569,69.3742,
2020,10,4,5.939821001,67.0743,
2020,10,6,6.153480634,67.5164,
2020,10,8,7.293290566,60.9565,
2020,10,10,8.219459227,61.8046,
2020,10,12,9.402417507,58.7347,
2020,10,14,,50.9178,
2020,10,16,11.22009728,54.1499,
2020,10,18,11.65740828,54.242,
2020,10,20,12.5749322,51.8941,
2020,10,22,13.0355054,51.3562,
2020,10,24,13.63522676,50.0713,
2020,10,26,,,
2020,10,28,14.68770722,47.8504,
2020,10,30,15.1536211,47.5225,
2020,10,32,15.42889576,45.7466,
2020,10,34,15.74463724,45.8167,
2020,10,36,16.30921799,44.3138,
2020,11,0,10.44894437,51.443,16.39877
2020,11,2,7.331338102,64.5646,16.54067
2020,11,4,6.749262631,67.7632,13.27713
2020,11,6,6.82831195,67.1278,15.07444
2020,11,8,8.01411368,,
2020,11,10,8.884871052,64.5834,12.23658
2020,11,12,10.25917644,60.233,14.04065
2020,11,14,,55.22,16.12175
2020,11,16,11.22236727,56.0326,13.16902
